section,config,variant,mode,description,overall_end_time,diff,ratio,target_raw_diff_vs_reference,target_raw_ratio_vs_reference,cases,ratio_mean,ratio_min,ratio_max
detail,MODEL_175b-TP_8-PP_8-SP_0-OPTIM_optim-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_compute,remove compute->compute dependency,1963061.1734765626,-1212678.008374998,0.3818569280831075,8962.670289064758,0.002822231227389154,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,between_compute_and_communication,remove all compute<->communication dependency,2384098.00965625,-1347415.9159296886,0.3610909520371444,140377.71508593718,0.037619507225581224,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_communication,remove communication->communication dependency,3871891.640671876,140377.71508593718,0.037619507225581224,140377.71508593718,0.037619507225581224,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,communication_to_compute,remove communication->compute dependency,3149757.753640625,-581756.1719453135,0.15590352429247964,140377.71508593718,0.037619507225581224,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_communication,remove compute->communication dependency,2894492.3545625,-837021.5710234386,0.2243115228069277,140377.71508593718,0.037619507225581224,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_3_para,compute_to_compute,remove compute->compute dependency,2202279.74467969,-1529234.1809062487,0.40981601875333257,140377.71508593718,0.037619507225581224,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,between_compute_and_communication,remove all compute<->communication dependency,2418960.2450703126,-1312553.680515626,0.35174830020486203,134913.84537500003,0.036155257106220036,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_communication,remove communication->communication dependency,3866427.7709609387,134913.84537500003,0.036155257106220036,134913.84537500003,0.036155257106220036,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,communication_to_compute,remove communication->compute dependency,3181234.5553984377,-550279.370187501,0.1474681271894473,134913.84537500003,0.036155257106220036,,,,
detail,MODEL_175b-TP_8-PP_8-SP_1-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-MICRO_BATCH_1-GLOBAL_BATCH_8,START_5_para,compute_to_communication,remove compute->communication dependency,2928296.8692734377,-803217.056312501,0.2152523271600484,134913.84537500003,0.036155257106220036,,,,
