dataset,config,start_variant,kind,perturb_mode,original_precision,e0_precision,e10_precision,e20_precision,e30_precision,e40_precision,e50_precision,e60_precision,e70_precision,e80_precision,e90_precision,e100_precision
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,communication,negative,0.9168288122201408,0.9168288122201408,0.9004691525889527,0.8765781388348418,0.8052429385561388,0.8112571306212882,0.7814583179838092,0.7378983703892694,0.8252832745514567,0.6087708512423144,0.7788883729311031,0.6460430602659221
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,communication,positive,0.9168288122201408,0.9168288122201408,0.9686887044257456,0.9974318271253775,0.9600936718581282,0.9152709637511862,0.7779432636192547,0.7491208929493411,0.6479334545146672,0.5233199076280026,0.7055753179820562,0.5490380265990532
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,communication,symmetric,0.9168288122201408,0.9168288122201408,0.9561315438693432,0.9645398481214562,0.982530226912068,0.8956532699681022,0.9702260072016642,0.9955693798963707,0.9021464515461355,0.7521015842714514,0.9984690696989105,0.8297662285941234
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,gpu,negative,0.9168288122201408,0.9168288122201408,0.9168269975948359,0.916825228214841,0.9168234193115924,0.916821619998511,0.9168220801626121,0.9168174475459282,0.916815811361569,0.916814778176513,0.916813902613463,0.9168142808808616
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,gpu,positive,0.9168288122201408,0.9168288122201408,0.9175730826302018,0.9185672584611353,0.9190543235853855,0.9207769647523284,0.9211860411480292,0.9231225701127153,0.9238547634994099,0.9250567838850867,0.9263076594375086,0.9278055839441195
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_26,gpu,symmetric,0.9168288122201408,0.9168288122201408,0.9172069651824424,0.9174467308011284,0.9177467875722136,0.9182992240834847,0.9186091658513171,0.9183026990547251,0.9193624534790401,0.9197034271991268,0.9198814325495065,0.9215167880587235
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,communication,negative,0.9141504137843794,0.9141504137843794,0.8977907541531914,0.8769552307583238,0.7920606228118772,0.808578732185527,0.7809557327891302,0.7382754623127514,0.8226048761156953,0.6093002480251448,0.7811822647047022,0.6457491861050095
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,communication,positive,0.9141504137843794,0.9141504137843794,0.9660103059899844,0.9947534286896162,0.9732759876023899,0.9179493621869476,0.7806216620550153,0.7487438010258596,0.6506118529504284,0.5229428157045207,0.7032814262084571,0.5498927251356305
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,communication,symmetric,0.9141504137843794,0.9141504137843794,0.953453145433582,0.9649169400449383,0.9798518284763069,0.893382249175347,0.9679321154280651,0.9912483043593676,0.9048248499818967,0.7529562828080284,0.9981711530751183,0.8292368318112927
moe_balance,use_data/MODEL_8x7b-TP_1-PP_8-EP_8-SP_0-OPTIM_no_shard-RECOMPUTE_0-OVERLAP_GR_0-EXPERT_NUM_8-ETP_1-MICRO_BATCH_SIZE_4-GLOBAL_BATCH_64-MOE_BALANCE_1,START_27,gpu,negative,0.9141504137843794,0.9141504137843794,0.914148690523515,0.914147051042985,0.9141451894042517,0.9141434015148338,0.9141438368164343,0.9141392532577797,0.9141377885863953,0.9141366598752629,0.9141357593074941,0.9141365987789877
